,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,40,291,49,143,6,32,35,326,78
automobile,95,0,13,12,9,9,40,1,103,718
bird,190,16,0,127,215,131,252,45,13,11
cat,41,17,127,0,93,395,226,50,25,26
deer,57,7,293,149,0,106,210,158,15,5
dog,11,3,140,552,84,0,84,102,11,13
frog,14,27,247,333,236,43,0,10,12,78
horse,63,12,94,114,402,215,33,0,7,60
ship,535,177,29,40,9,7,33,6,0,164
truck,206,381,35,58,20,8,93,74,125,0
