,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,1,42,275,36,198,14,37,33,301,63
automobile,50,20,16,12,11,12,26,4,93,756
bird,117,17,4,126,277,134,228,55,27,15
cat,22,16,128,1,147,331,210,95,21,29
deer,22,13,313,126,1,102,197,200,11,15
dog,11,7,140,434,127,22,103,119,15,22
frog,10,22,270,332,229,47,11,35,8,36
horse,25,5,86,79,423,189,65,78,6,44
ship,413,160,62,38,89,16,29,16,12,165
truck,93,581,33,22,38,19,32,44,108,30
