,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,48,312,47,148,7,26,36,294,82
automobile,100,0,18,14,9,8,39,6,100,706
bird,188,13,0,126,218,140,251,43,14,7
cat,37,19,125,0,104,384,227,51,25,28
deer,44,6,301,144,0,112,205,172,10,6
dog,14,5,140,542,83,0,89,109,10,8
frog,10,22,245,363,239,49,0,8,12,52
horse,63,7,92,108,431,215,17,0,7,60
ship,539,183,33,36,13,8,27,7,0,154
truck,168,431,28,63,16,14,83,83,114,0
