,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,5,5,1,4,0,893,0,0,92
automobile,0,0,1,0,1,0,841,0,0,157
bird,0,1,0,0,0,0,939,0,1,59
cat,0,1,2,0,0,0,924,0,0,73
deer,0,1,0,0,0,0,956,0,0,43
dog,0,0,1,0,0,0,924,0,0,75
frog,5,27,249,132,81,0,0,24,3,479
horse,0,2,1,0,0,0,926,0,0,71
ship,0,4,2,0,0,0,871,0,0,123
truck,1,10,5,0,1,0,975,3,5,0
