,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,41,48,313,46,106,12,29,34,294,77
automobile,52,283,19,11,12,10,24,5,89,495
bird,140,15,43,142,224,146,193,49,34,14
cat,28,15,141,5,128,395,159,82,24,23
deer,31,8,302,139,26,117,152,202,15,8
dog,18,6,152,457,83,66,63,118,19,18
frog,13,21,240,272,201,54,143,22,10,24
horse,32,6,97,85,320,178,32,205,4,41
ship,369,156,63,41,40,18,19,13,150,131
truck,81,448,39,27,23,15,25,42,97,203
