,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,54,287,51,96,8,25,38,353,88
automobile,102,0,14,11,7,7,31,2,126,700
bird,195,14,0,116,211,150,231,50,17,16
cat,42,17,123,0,90,416,204,55,25,28
deer,46,6,296,139,0,126,186,179,17,5
dog,14,3,133,553,78,0,73,126,10,10
frog,10,36,228,340,235,46,0,7,10,88
horse,71,11,95,99,361,257,22,0,7,77
ship,517,186,34,34,13,8,22,8,0,178
truck,156,480,34,56,12,10,57,79,116,0
