,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,53,306,51,95,8,25,40,326,96
automobile,101,0,13,14,7,9,33,3,109,711
bird,186,12,0,131,212,152,232,51,16,8
cat,41,17,126,0,90,416,205,53,24,28
deer,43,5,300,139,0,127,170,199,14,3
dog,14,3,134,552,76,0,78,123,12,8
frog,11,24,231,369,225,62,0,7,13,58
horse,63,12,92,98,391,255,17,0,8,64
ship,527,197,35,38,10,8,18,8,0,159
truck,144,504,26,60,12,17,47,82,108,0
