,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,34,213,28,339,7,63,29,223,64
automobile,40,0,16,9,22,6,63,7,74,763
bird,65,10,1,72,321,88,345,50,15,33
cat,12,16,94,0,195,201,336,82,19,45
deer,10,11,266,83,0,71,335,176,18,30
dog,4,6,108,304,180,2,242,108,20,26
frog,8,17,233,348,278,28,0,40,8,40
horse,16,5,69,54,482,147,152,11,6,58
ship,342,129,53,27,167,7,59,12,0,204
truck,101,528,31,24,48,14,66,49,137,2
