,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,259,37,227,50,64,8,23,33,229,70
automobile,52,513,17,12,8,8,18,3,72,297
bird,128,12,162,129,204,132,159,42,23,9
cat,31,16,135,60,112,377,147,81,20,21
deer,31,7,278,143,96,102,138,188,12,5
dog,18,5,136,400,70,192,52,108,10,9
frog,10,14,189,206,154,48,339,13,10,17
horse,26,6,89,74,235,160,18,357,3,32
ship,287,119,54,44,20,12,17,9,357,81
truck,67,290,36,34,13,10,22,37,61,430
