,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,29,131,18,388,1,169,16,156,92
automobile,29,0,10,4,18,1,143,6,42,747
bird,30,12,0,50,246,29,532,37,9,55
cat,5,10,59,0,140,51,607,45,4,79
deer,1,8,143,41,0,10,647,102,10,38
dog,1,7,82,119,147,0,496,80,13,55
frog,2,18,228,312,304,7,0,49,7,73
horse,9,3,55,36,362,59,385,0,5,86
ship,159,96,49,19,214,2,148,3,0,310
truck,77,419,36,23,74,5,190,28,148,0
