,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,13,68,8,83,0,665,3,36,124
automobile,4,0,6,2,4,0,486,0,5,493
bird,4,4,0,6,27,0,893,2,5,59
cat,0,5,11,0,11,1,884,4,6,78
deer,1,2,21,2,0,0,932,5,1,36
dog,0,2,30,11,13,0,871,5,1,67
frog,2,9,269,249,167,1,0,41,1,261
horse,0,4,17,6,21,0,833,0,5,114
ship,9,28,22,3,24,0,616,4,0,294
truck,22,129,21,1,26,1,729,3,68,0
