,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,58,378,51,71,8,15,33,294,92
automobile,62,0,8,10,5,8,20,3,101,783
bird,214,8,0,163,214,147,195,39,13,7
cat,31,13,133,0,81,497,149,54,23,19
deer,35,5,373,157,0,106,104,213,6,1
dog,10,2,129,645,58,0,37,108,6,5
frog,10,24,314,403,169,46,0,7,7,20
horse,48,8,94,72,424,313,5,0,3,33
ship,542,182,41,53,12,5,22,5,0,138
truck,129,638,20,34,8,7,20,41,103,0
