,T-shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt,554,14,31,83,5,3,301,2,7,0
Trouser,1,957,3,28,1,0,5,0,5,0
Pullover,18,2,586,48,205,0,136,3,2,0
Dress,33,22,11,840,28,2,50,2,12,0
Coat,4,0,249,134,519,1,87,2,4,0
Sandal,1,0,0,10,2,937,0,36,4,10
Shirt,182,8,157,107,284,3,245,1,13,0
Sneaker,0,0,0,31,0,74,0,817,1,77
Bag,13,1,25,17,10,7,36,4,885,2
Ankle boot,1,0,0,26,0,30,0,76,0,867
