,T-shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt,287,24,41,134,13,4,488,2,7,0
Trouser,4,905,4,58,7,1,12,0,9,0
Pullover,39,1,320,92,300,1,235,4,8,0
Dress,57,63,20,732,35,3,67,2,21,0
Coat,10,5,322,174,336,1,143,3,6,0
Sandal,3,0,3,43,4,841,1,84,11,10
Shirt,221,15,193,127,344,0,77,2,20,1
Sneaker,0,0,0,105,0,180,0,600,1,114
Bag,21,1,51,55,28,10,93,12,725,4
Ankle boot,2,0,0,117,1,71,2,132,0,675
