,T-shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt,0,2,37,207,4,3,739,0,8,0
Trouser,29,0,5,868,10,2,4,0,82,0
Pullover,65,0,0,72,442,1,417,0,3,0
Dress,279,73,70,0,246,40,166,6,120,0
Coat,1,0,534,169,0,2,290,1,3,0
Sandal,107,1,22,15,14,0,1,573,184,83
Shirt,266,3,206,80,437,0,0,0,8,0
Sneaker,1,0,0,88,0,630,0,0,14,267
Bag,276,1,121,110,93,110,130,151,0,8
Ankle boot,0,0,1,75,1,626,0,295,2,0
