,T-shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt,0,28,119,169,51,8,574,4,46,1
Trouser,26,63,144,174,43,12,135,2,396,5
Pullover,20,8,45,46,260,8,532,2,77,2
Dress,42,14,131,41,76,60,394,10,228,4
Coat,44,37,282,93,0,16,390,4,134,0
Sandal,92,9,207,31,31,119,81,23,404,3
Shirt,94,42,225,143,346,14,0,4,130,2
Sneaker,124,18,475,15,32,83,60,0,186,7
Bag,89,17,185,48,140,21,301,12,179,8
Ankle boot,40,2,300,36,71,79,80,6,386,0
