,T-shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt,0,2,31,155,4,2,802,0,4,0
Trouser,23,0,5,921,5,0,6,0,40,0
Pullover,54,0,1,49,497,0,396,2,1,0
Dress,251,178,83,0,303,2,145,5,32,1
Coat,1,0,597,182,0,1,215,1,3,0
Sandal,132,1,37,9,30,0,4,634,118,35
Shirt,290,1,208,70,425,0,0,0,6,0
Sneaker,0,0,0,155,0,604,0,0,5,236
Bag,232,1,125,123,93,97,93,220,0,16
Ankle boot,0,0,2,190,1,370,0,437,0,0
