,T-shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt,5,52,40,195,30,3,659,6,10,0
Trouser,11,757,6,141,12,1,37,0,34,1
Pullover,67,4,65,81,402,0,359,2,20,0
Dress,90,118,46,488,52,7,165,4,30,0
Coat,28,33,375,191,143,4,202,2,22,0
Sandal,14,2,18,74,9,716,7,122,23,15
Shirt,211,29,209,142,370,2,5,1,28,3
Sneaker,49,0,23,221,2,274,10,266,12,143
Bag,19,3,84,91,93,16,158,15,494,27
Ankle boot,12,1,92,330,45,133,29,178,5,175
