,T-shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt,0,11,331,74,44,63,144,59,273,1
Trouser,16,0,415,53,37,57,84,24,309,5
Pullover,34,17,93,70,27,78,254,47,377,3
Dress,11,2,234,0,31,122,167,40,392,1
Coat,48,11,183,41,0,109,160,17,429,2
Sandal,34,5,419,37,28,1,103,17,356,0
Shirt,35,18,329,59,46,83,0,61,368,1
Sneaker,44,12,475,11,21,25,97,0,314,1
Bag,67,21,522,26,68,32,241,22,0,1
Ankle boot,18,6,432,17,28,14,69,0,416,0
