,T-shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt,0,4,38,247,5,5,665,0,36,0
Trouser,32,0,5,717,7,13,6,0,220,0
Pullover,119,0,0,66,381,0,409,1,24,0
Dress,217,31,38,0,149,144,133,8,280,0
Coat,3,0,474,178,0,2,336,1,6,0
Sandal,108,0,17,33,7,0,5,405,336,89
Shirt,231,1,216,92,437,1,0,0,22,0
Sneaker,2,0,0,93,1,667,0,0,62,175
Bag,226,2,78,183,88,95,245,79,0,4
Ankle boot,0,0,4,60,0,747,0,187,2,0
