,T-shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt,0,26,241,121,43,22,361,21,165,0
Trouser,11,1,334,98,37,27,161,8,320,3
Pullover,28,18,58,69,70,20,533,11,190,3
Dress,14,1,173,0,49,64,344,19,333,3
Coat,37,22,139,50,0,47,370,4,331,0
Sandal,54,8,367,34,36,2,114,18,366,1
Shirt,34,50,285,123,142,41,0,18,305,2
Sneaker,31,8,521,14,17,23,113,0,271,2
Bag,78,16,355,35,107,12,378,13,5,1
Ankle boot,23,2,357,33,44,17,85,0,439,0
