,0,1,2,3,4,5,6,7,8,9
0,950,2,2,1,1,1,11,2,8,2
1,0,1107,10,3,0,2,3,6,4,0
2,8,14,906,19,2,0,7,64,11,1
3,5,4,3,935,0,37,4,14,5,3
4,1,6,4,1,906,0,16,2,14,32
5,2,5,0,11,1,829,13,3,7,21
6,14,6,1,0,5,18,897,0,15,2
7,0,26,11,7,14,1,0,959,2,8
8,12,1,11,7,6,3,4,2,923,5
9,7,9,4,9,55,10,0,19,43,853
