,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,5,2,972,1
1,0,0,1,1,0,0,1,4,1128,0
2,2,6,0,8,0,0,3,30,983,0
3,1,1,1,0,0,15,1,3,988,0
4,0,2,1,0,0,0,9,0,953,17
5,1,4,0,6,0,0,5,1,870,5
6,9,2,1,0,3,3,0,0,940,0
7,0,14,3,1,5,0,0,0,1003,2
8,6,0,6,3,0,1,2,1,953,2
9,2,1,0,5,18,6,0,6,971,0
