,0,1,2,3,4,5,6,7,8,9
0,4,1,275,0,96,13,1,0,565,25
1,1,0,22,8,73,0,7,0,1018,6
2,19,0,0,1,37,0,0,1,965,9
3,25,1,39,0,94,1,6,0,842,2
4,14,0,27,6,15,0,0,0,890,30
5,57,0,134,3,72,0,0,0,592,34
6,15,2,40,3,74,10,0,0,796,18
7,1,9,49,2,230,10,19,0,685,23
8,24,2,676,62,121,5,1,3,60,20
9,19,0,131,1,171,4,2,0,681,0
