,0,1,2,3,4,5,6,7,8,9
0,0,30,160,7,17,135,165,62,198,206
1,3,0,158,117,209,21,38,284,281,24
2,31,260,0,116,27,0,12,439,146,1
3,23,55,30,0,0,519,11,54,251,67
4,5,131,34,0,0,14,75,49,102,572
5,14,54,0,205,5,0,59,3,239,313
6,302,46,14,1,49,270,0,0,274,2
7,1,516,50,208,103,20,0,0,5,125
8,34,73,247,220,46,68,42,76,25,143
9,16,12,8,137,272,30,0,156,378,0
