,0,1,2,3,4,5,6,7,8,9
0,0,0,129,5,61,6,0,0,771,8
1,1,0,17,8,3,0,0,0,1105,1
2,2,0,0,0,10,0,0,0,1019,1
3,17,0,33,0,52,0,2,0,905,1
4,4,0,29,5,0,0,0,0,944,0
5,6,0,105,1,21,0,0,0,755,4
6,3,0,45,3,24,2,0,0,861,20
7,2,0,20,5,68,9,28,0,893,3
8,39,0,593,34,217,14,1,1,37,38
9,8,0,111,1,38,1,0,0,850,0
